n_qubits,statevector_dimension,edge_count,pool_size,eligible_count,selected_count,max_gradient,selected_weight,hamiltonian_seconds,pool_seconds,scoring_seconds,threshold_seconds,graph_seconds,kamis_seconds,total_seconds
4,16,3,29,15,2,0.9999995000000352,1.9999990000000705,0.003073166939429939,0.00011620891746133566,0.20329262490849942,1.1665979400277138e-05,5.304196383804083e-05,0.35693975002504885,0.5634864587336779
6,64,6,67,40,3,0.9999995000000276,2.0039974933340177,0.00011662498582154512,0.0001269590575248003,0.09730170795228332,2.216699067503214e-05,0.000281207961961627,0.10640495794359595,0.20425362489186227
8,256,11,121,77,4,0.999998000000642,3.999989000006317,0.00013345899060368538,0.00021058309357613325,0.22391029098071158,3.9624981582164764e-05,0.0008724998915567994,0.1265840419800952,0.35175049991812557
10,1024,19,191,131,5,0.9999995000000035,4.999985500012515,0.00016562500968575478,0.00032420794013887644,1.089053750038147,5.8125006034970284e-05,0.002403707941994071,0.15741970797535032,1.249425123911351
12,4096,26,277,188,6,0.9999980000006133,5.999979000017417,0.00020120805129408836,0.0004729580832645297,6.380986624979414,7.616705261170864e-05,0.004890750045888126,0.182901291991584,6.5695290002040565
14,16384,34,379,252,7,0.9999965000024978,6.999969500029756,0.0002512499922886491,0.0006339170504361391,37.04424162500072,0.0001295419642701745,0.008666625013574958,0.23733779101166874,37.29126075003296
16,65536,45,497,332,8,0.999996500002514,7.999952500071343,0.002544082934036851,0.0015289169969037175,205.76284924999345,0.00018091604579240084,0.015299957944080234,0.5187092499108985,206.30111237382516
18,262144,65,631,448,9,0.9999950000054203,8.999928000144587,0.0038051250157877803,0.0012730410089716315,1133.9222378330305,0.0002839170629158616,0.026744583039544523,0.9934363750508055,1134.9477808742085
